callsign,inband_qso_count,d4c_total_qso_count,cn3a_reached
2E0CVN,1,2,true
3B8M,2,6,true
3B9KW,5,5,true
3D2AG,3,4,true
3G8EW,1,1,true
3V8SS,4,4,true
3W9A,2,2,true
3Z0X,1,1,true
3Z9X,1,1,false
4E1AGW,1,1,false
4K6FO,3,4,true
4L0G,1,1,true
4L5O,1,1,true
4L5P,1,1,true
4L8A,1,1,true
4L9M,1,5,true
4U1A,5,6,true
4W8X,3,8,true
4X0A,1,1,true
4X1MM,1,2,false
4X6FB,1,1,true
4X6FR,3,3,true
4X7M,4,4,true
4Z4DX,1,4,true
4Z5LA,1,2,true
5H3MB,2,2,true
5W1SA,3,3,true
5Z4VJ,3,3,true
7A2A,2,5,true
7D1C,2,4,true
7J1AAI,2,2,false
7K4XNN,1,1,true
7O73T,5,5,true
8P5A,6,6,true
8P9A,1,1,true
8S80AA,1,1,true
9A/KF0GVX,1,1,false
9A/N4XTT,1,5,true
9A/S56NE,1,5,true
9A/TA7AZC,1,1,true
9A/W0AAE,2,2,true
9A1A,1,5,true
9A1AA,2,5,true
9A1AAY,3,4,false
9A1LAF,1,2,true
9A1P,2,6,true
9A2KD,1,1,true
9A2KI,1,3,true
9A3AG,1,1,true
9A3MA,1,3,true
9A3MR,2,3,true
9A3SM,1,3,true
9A4BA,3,3,true
9A7A,2,5,true
9A8M,1,2,true
9A9R,2,2,true
9H/DF1DN,3,3,true
9H/DL2MRE,3,3,true
9H1CG,4,4,true
9H6A,2,4,true
9M6NA,3,4,true
9N7AA,1,1,true
9Z4A,4,5,true
A60A,2,5,true
A65CW,1,3,true
A71WW,3,3,true
A92GE,1,1,true
AA1QD,1,2,true
AA1SU,1,2,true
AA2ZW,1,1,false
AA4CF,1,1,true
AA5UN,1,4,true
AA8P,1,1,true
AA9A,1,1,true
AB2E/VP9,2,5,true
AB3CX,2,4,true
AB4ES,1,1,false
AB5EB,1,2,true
AB7MP,1,1,false
AC6DD,1,2,true
AC6XT/6Y,2,2,true
AC7AF,2,3,true
AD4ES,2,2,true
AD5A,2,4,true
AF2F,1,1,true
AG3I,1,1,true
AH2R,1,4,true
AI4WW,2,5,true
AI6O,3,3,true
AJ9C,1,2,true
AL1G,1,2,true
AT3K,3,5,true
B0A,3,5,true
BA3MM,1,3,true
BA7LOK,1,6,true
BA7MT,4,4,true
BD1KV,1,2,false
BD4TTU,2,4,true
BD4VGZ,1,2,false
BD5XX,1,1,true
BD7BT,1,1,false
BD7DT,1,3,true
BD7JNA,1,1,true
BG2AUE,1,2,true
BG8TFN,1,1,false
BH1APZ,2,2,true
BH2VBK,1,1,false
BI4WXD,1,1,true
BI4XDT,1,1,true
BI6LFJ,1,1,false
BY1CW,1,2,true
BY3GA,3,3,true
BY4DX,2,2,false
BY7KP,1,2,true
BY8AC,1,3,true
C37N,5,7,true
C4W,4,4,true
C6AQQ,4,4,true
C6AWA,4,4,true
CE2DX,1,1,true
CE2LR,4,4,true
CE3CT,2,4,true
CN3A,6,6,false
CN8WW,1,1,true
CO2AN,1,1,true
CO2ER,1,1,true
CO2JD,1,1,true
CO2RQ,2,2,true
CO8ZZ,3,4,true
CR3A,3,5,true
CR3W,5,7,true
CR5O,1,2,true
CR6K,6,6,true
CT3KN,5,7,true
CT7BJG,1,2,true
CW5W,1,1,true
CX2AQ,1,1,true
CX5UA,1,2,true
CX9AU,1,2,true
DA0RR,1,2,true
DD5M,2,2,true
DF0HQ,1,1,true
DF1DX,1,1,true
DF1MM,1,1,true
DF2RQ,1,1,true
DF4XF,1,1,true
DF4XX,1,2,true
DF6JC,1,1,false
DF9ZV,1,1,false
DJ0IF,2,2,true
DJ2QV,2,4,true
DJ5MW,3,4,true
DJ6AU,1,2,true
DK0SU,2,4,true
DK0SV,1,1,false
DK1MAX,1,2,true
DK1NO,4,5,true
DK1WU,1,1,true
DK3YD,1,3,true
DK4YJ,1,1,true
DK5DQ,5,5,true
DK5TA,1,1,true
DK5TRI,1,1,true
DK6FX,2,3,true
DK70BAD,1,1,false
DL0FTL,2,5,true
DL0RD,1,1,true
DL1AQU,1,1,true
DL1DVE,1,2,true
DL1EAR,1,3,true
DL1EFW,1,1,true
DL1MJF,1,1,true
DL1SO,1,1,true
DL1VDL,2,4,true
DL2DX,2,3,true
DL2DXA,1,1,false
DL2F,3,3,true
DL2OE,1,3,true
DL3ASM,1,1,false
DL3AZ,2,5,true
DL3UB,2,6,true
DL3VZL,2,4,true
DL4AAE,1,1,true
DL4ABR,2,3,true
DL4YR,1,3,true
DL4ZA,2,2,true
DL5AN,1,1,false
DL5ARM,1,2,true
DL5ASK,1,4,true
DL5CF,1,3,true
DL5DXS,2,2,true
DL5IAH,1,6,false
DL5RDO,1,3,true
DL5RDP,1,3,true
DL5XAT,1,3,true
DL5YL,4,6,true
DL5YM,2,5,true
DL6JZ,3,5,true
DL6NCY,1,2,true
DL7FER,3,5,true
DL7JOM,2,2,true
DL7PIA,2,5,true
DL7URB,1,2,false
DL7VMM,1,1,true
DL8SCG,1,1,true
DL8ULF,2,2,true
DL9ABM,1,2,true
DM0A,1,1,true
DM1T,5,5,true
DM2RN,3,4,true
DM3ZF,1,2,true
DM5DM,2,5,true
DM5EA,1,2,true
DM6WAN,1,2,true
DM7C,1,6,true
DP4M,1,1,true
DP6A,1,2,true
DP9A,1,3,true
DR4A,1,1,true
DS4AOW,1,1,true
DS4EOI,2,2,true
DU3T,2,3,true
DX8H,1,2,true
E29TGW,2,4,true
E2A,3,3,true
E2X,1,5,true
E70AW,2,2,true
E71A,4,4,true
E72U,1,4,true
E73M,2,3,true
E77D,1,3,true
E78T,1,1,true
E7AA,1,1,true
E7GZ,1,1,true
EA1FBU,3,5,true
EA1G,2,3,true
EA1L,2,2,true
EA2AFV,1,1,true
EA2AZ,1,2,true
EA2BD,1,1,true
EA2ESB,2,4,true
EA2GM,2,2,true
EA2GR,3,3,true
EA2W,3,4,true
EA3AR,5,5,false
EA3CWT,1,1,true
EA3D,1,1,false
EA3FZT,1,1,true
EA3IN,1,2,true
EA3KE,1,1,true
EA3X,2,2,true
EA4EM,2,2,true
EA4GWG,1,1,true
EA4KD,1,1,true
EA4M,1,1,false
EA4OR,2,2,true
EA5AER,2,2,false
EA5CP,1,1,true
EA5DD,2,2,false
EA5ET,1,1,false
EA5J,2,2,true
EA5L,1,1,false
EA5M,3,6,true
EA5W,1,1,false
EA6EJ,2,2,true
EA6NB,5,5,false
EA7/G4BJM,2,6,true
EA7A,1,1,true
EA7CJN,1,4,true
EA7GZQ,1,5,false
EA7R,3,3,false
EA7TG,2,3,false
EA8AQM,1,2,false
EA8BQM,2,3,true
EA8BYM,1,1,false
EA8RM,7,7,true
EA8TZ,1,1,true
EA9/OH2BR,1,1,false
EB5F,1,1,false
EB7KA,3,4,true
EC1R,1,1,false
EC5K,1,1,true
EC7K,1,1,false
ED1B,3,6,true
ED1K,2,3,true
ED1R,1,2,true
ED3A,1,3,true
ED3Z,3,4,true
ED5K,1,1,true
ED5N,1,4,true
ED5O,2,4,true
ED7W,3,6,true
ED8M,4,6,true
EE3O,1,1,true
EF1A,5,6,true
EF6B,3,4,true
EF6T,5,7,true
EF8BBM,1,2,true
EI0W,1,3,true
EI1E,4,6,true
EI5KO,1,1,true
EI6FR,1,1,true
EI7M,1,2,true
EI9E,2,5,true
ER/UT1ZZ,1,2,true
ER1A,1,1,false
ER1KAA,1,5,true
ES1BH,2,2,true
ES2MC,3,3,true
ES2RR,1,1,true
