country,callsign,qso_count_2015,active_2024_2025
Asiatic Russia,R0AA,1,no
Asiatic Russia,R0AEE,1,no
Asiatic Russia,R8CT,3,no
Asiatic Russia,R9AE,1,no
Asiatic Russia,R9AM,3,no
Asiatic Russia,R9CAC,1,no
Asiatic Russia,R9CB,1,no
Asiatic Russia,R9CM,2,no
Asiatic Russia,R9MJ,3,no
Asiatic Russia,R9MU,1,no
Asiatic Russia,R9QQ,1,no
Asiatic Russia,R9RA,1,no
Asiatic Russia,R9RT,1,no
Asiatic Russia,R9UA,3,no
Asiatic Russia,R9UP,1,no
Asiatic Russia,RA9AAA,2,no
Asiatic Russia,RA9AP,2,no
Asiatic Russia,RA9AU,1,no
Asiatic Russia,RA9CCK,1,no
Asiatic Russia,RA9DAD,1,no
Asiatic Russia,RA9DZ,1,no
Asiatic Russia,RA9JBA,1,no
Asiatic Russia,RA9MX,2,no
Asiatic Russia,RA9UGU,1,no
Asiatic Russia,RA9Y,1,no
Asiatic Russia,RC9A,2,no
Asiatic Russia,RC9J,4,no
Asiatic Russia,RC9O,3,no
Asiatic Russia,RC9W,1,no
Asiatic Russia,RD0A,1,no
Asiatic Russia,RD0W,1,no
Asiatic Russia,RD9U,3,no
Asiatic Russia,RG8U,1,no
Asiatic Russia,RG9A,1,no
Asiatic Russia,RK0W,2,no
Asiatic Russia,RK8I,1,no
Asiatic Russia,RK8T,4,no
Asiatic Russia,RK9AWQ,1,no
Asiatic Russia,RK9AX,3,no
Asiatic Russia,RK9AY,1,no
Asiatic Russia,RK9DM,1,no
Asiatic Russia,RK9QWM,1,no
Asiatic Russia,RK9UE,2,no
Asiatic Russia,RL9AA,2,no
Asiatic Russia,RL9I,2,no
Asiatic Russia,RM0A,1,no
Asiatic Russia,RM9RZ,1,no
Asiatic Russia,RN0A,1,no
Asiatic Russia,RN0CT,1,no
Asiatic Russia,RN0SRR,1,no
Asiatic Russia,RN9N,3,no
Asiatic Russia,RN9O/8,1,no
Asiatic Russia,RT0F,2,no
Asiatic Russia,RT0Q,1,no
Asiatic Russia,RT0R,1,no
Asiatic Russia,RT9S,2,no
Asiatic Russia,RT9YA,1,no
Asiatic Russia,RU0LAX,1,no
Asiatic Russia,RU9AZ,1,no
Asiatic Russia,RU9CC,2,no
Asiatic Russia,RV9CQ,1,no
Asiatic Russia,RV9MA,1,no
Asiatic Russia,RW0LL,1,no
Asiatic Russia,RW9AB,1,no
Asiatic Russia,RW9AS,1,no
Asiatic Russia,RW9MC,1,no
Asiatic Russia,RW9TP,1,no
Asiatic Russia,RW9UX,1,no
Asiatic Russia,RW9WT,2,no
Asiatic Russia,RX0AKI,1,no
Asiatic Russia,RX9AF,1,no
Asiatic Russia,RX9CCJ,1,no
Asiatic Russia,RX9SR,1,no
Asiatic Russia,RZ0AI,1,no
Asiatic Russia,RZ9OF,1,no
Asiatic Russia,RZ9U,1,no
Asiatic Russia,RZ9UO,1,no
Asiatic Russia,UA0AD,1,no
Asiatic Russia,UA0IDZ,2,no
Asiatic Russia,UA0MF,1,no
Asiatic Russia,UA0SE,1,no
Asiatic Russia,UA0SF,1,no
Asiatic Russia,UA0SR,2,no
Asiatic Russia,UA0UK,2,no
Asiatic Russia,UA0W,1,no
Asiatic Russia,UA0WY,1,no
Asiatic Russia,UA8U,1,no
Asiatic Russia,UA9AGX,2,no
Asiatic Russia,UA9CBO,1,no
Asiatic Russia,UA9CTT,2,no
Asiatic Russia,UA9CUA,1,no
Asiatic Russia,UA9CVQ,1,no
Asiatic Russia,UA9LAO,1,no
Asiatic Russia,UA9MA,4,no
Asiatic Russia,UA9MUY,2,no
Asiatic Russia,UA9NP,1,no
Asiatic Russia,UA9OR,1,no
Asiatic Russia,UA9R,2,no
Asiatic Russia,UA9SMU,1,no
Asiatic Russia,UA9UDX,1,no
Asiatic Russia,UA9UR,1,no
Asiatic Russia,UA9YE,3,no
Asiatic Russia,UC0A,1,no
Asiatic Russia,UC8I,3,no
Asiatic Russia,UC8U,3,no
Asiatic Russia,UI9I,2,no
European Russia,R1CC,1,no
European Russia,R1UA,1,no
European Russia,R2AD,2,no
European Russia,R2AGG,1,no
European Russia,R2DEU,1,no
European Russia,R2DW,2,no
European Russia,R2EA,2,no
European Russia,R2ZA,1,no
European Russia,R35MWC,3,no
European Russia,R3AA,1,no
European Russia,R3AB,1,no
European Russia,R3AQ,1,no
European Russia,R3BM,1,no
European Russia,R3BT,2,no
European Russia,R3GMT,3,no
European Russia,R3HD,1,no
European Russia,R3LA,1,no
European Russia,R3MA,1,no
European Russia,R3MS,1,no
European Russia,R3OM,1,no
European Russia,R3WR,1,no
European Russia,R45DX,1,no
European Russia,R4EA,1,no
European Russia,R4FA,1,no
European Russia,R4FAN,2,no
European Russia,R4FD,2,no
European Russia,R4IB,1,no
European Russia,R4IN,1,no
European Russia,R4IO,1,no
European Russia,R4PAO,1,no
European Russia,R4RM,1,no
European Russia,R4RZ,1,no
European Russia,R4WAB,1,no
European Russia,R4WDX,2,no
European Russia,R5DF,1,no
European Russia,R5DX,1,no
European Russia,R6AC,1,no
European Russia,R6AW,1,no
European Russia,R6FAA,5,no
European Russia,R6FK,2,no
European Russia,R6GK,1,no
European Russia,R7AB,1,no
European Russia,R7FF,3,no
European Russia,R7FL,4,no
European Russia,R7GA,2,no
European Russia,R7HF,1,no
European Russia,R7KMA,2,no
European Russia,R7LV,1,no
European Russia,R7MM,3,no
European Russia,R7NA,1,no
European Russia,R7NP,3,no
European Russia,R7RM,1,no
European Russia,R7TO,1,no
European Russia,RA1ANY,3,no
European Russia,RA1CW,1,no
European Russia,RA1TV,2,no
European Russia,RA3BQ,1,no
