callsign,inband_qso_count,tk0c_total_qso_count,cn3a_reached
3B8M,3,6,true
3B9KW,5,5,true
3D2AG,1,1,true
3W9A,3,3,true
3W9T,1,1,true
3Z1K,3,8,true
4A7S,2,3,true
4E1AGW,1,1,true
4K6FO,3,4,true
4L2M,1,1,true
4O3A,5,6,true
4U1A,1,3,true
4U1UN,5,5,true
4X0A,1,1,true
4X1MM,1,1,true
4X1VE,1,1,true
4Z4KX,5,6,true
4Z5LY,1,2,true
4Z5MU,1,1,true
4Z5PN,2,2,true
5J0EA,3,5,true
5J1DX,5,6,true
5X1DF,1,1,true
5X1XA,1,1,true
5X7W,1,1,true
6O3T,1,1,false
7A0F,3,3,true
7A1A,2,4,true
7A2A,3,4,true
7B1B,1,1,false
7K4VPV,1,2,true
7L1ETP/1,1,1,false
7Q1A,1,2,true
8P5A,6,6,true
8R1/AG6UT,5,5,true
8R1TM,1,1,true
9A/KF0GVX,1,1,false
9A0BB,1,2,false
9A0BR,1,4,true
9A1A,5,6,true
9A1CCY,1,1,true
9A1P,4,6,true
9A2CT,5,5,true
9A2L,2,5,true
9A3JH,1,1,true
9A3K,1,2,true
9A3MA,2,4,true
9A3MR,1,1,true
9A3ST,1,1,false
9A3VMT,3,4,true
9A3YT,3,6,true
9A4M,6,6,true
9A4V,1,2,true
9A5D,1,1,true
9A5M,1,2,true
9A6AR,1,1,true
9A7A,1,5,true
9A7RR,3,5,true
9A7W,1,1,true
9A7Y,1,4,true
9H6A,6,6,true
9J2FI,4,5,true
9M2J,1,1,true
9M6NA,5,6,true
9Y4M,3,3,true
9Z4BM,4,5,true
A44A,2,3,true
A65D,1,1,true
A71WW,5,6,true
A92GE,3,3,true
AA1K,3,6,true
AA1ON,1,1,true
AA4CF,1,1,true
AA4NC,4,5,true
AA5JF,2,3,true
AB3CX,4,5,true
AB5SE,1,1,true
AC4NK,1,2,false
AC6DD,1,1,true
AD4SA,3,3,false
AD5A,3,4,true
AE1T,1,2,false
AF4PX,1,1,true
AG4TT,1,3,true
AH2R,1,1,true
AH6KO,1,1,true
AI4WW,1,2,true
AI5IN,2,3,true
AJ9C,2,2,true
AK1MD,1,2,true
AK3B,1,1,true
B0A,2,6,true
B1Z,2,3,true
B4S,5,5,true
B4T,2,2,true
BA3AX,1,1,true
BA3OM,3,3,true
BA3WW,2,3,true
BA7JMO,1,1,false
BA7LOK,2,4,true
BA7MT,2,2,true
BA7OLK,1,1,false
BA8AG,1,1,true
BA8BA,1,1,true
BD1IIJ,4,5,true
BD3TE,3,3,true
BD4QA,1,1,true
BD4SDX,1,2,true
BD5XM,1,1,false
BD8CS,4,5,true
BG0DLA,4,6,true
BG8SRK,1,1,true
BH4AHC,1,1,false
BH6IE,1,2,true
BH7FFR,1,1,true
BH8WWP,1,1,false
BI8CZM,1,1,true
BI8FRF,1,1,true
BL1IIJ,1,1,false
BU2EO,1,1,false
BX4AFI,3,3,true
BY1CY,1,2,false
BY3GA,2,4,true
BY4DX,1,1,false
BY4JN,3,4,true
BY5EA,2,4,true
BY5HB,3,3,true
BY7KP,3,4,true
BY7WZ,2,2,true
C4W,4,6,true
C6AQQ,5,5,true
CB1V,1,1,true
CB3A,2,2,true
CE0Y,5,5,true
CE2LR,1,1,true
CE3/N5NU,1,1,true
CN3A,6,6,false
CO2AN,1,1,true
CO2JD,1,1,true
CO8ZZ,3,4,true
CQ9A,6,6,true
CR2M,6,8,true
CR3A,4,8,true
CR3W,4,6,true
CR6I,1,2,true
CR6K,5,6,true
CT1AGS,1,1,true
CT1BOH,1,1,true
CT1DRB,1,2,true
CT1FJO,1,1,true
CT1JGA,1,1,true
CT3KN,4,5,true
CT7ANO,1,1,true
CT7BFV,1,1,false
CT7BJG,1,1,true
CT7BQH,1,2,true
CW5W,1,1,true
CX2AQ,4,4,true
CX2BR,1,1,false
CX5UA,1,2,true
CX9AU,1,1,true
D4Z,1,1,true
DA0T,2,4,true
DA2A,1,1,true
DA2C,4,4,true
DA2X,2,6,true
DC4A,4,5,true
DD1A,3,4,true
DD2D,4,6,true
DD3FH,1,2,true
DD6CW,1,1,true
DF0HQ,3,7,true
DF1PU,1,2,true
DF6PB,3,3,true
DF7A,6,7,true
DF7C,1,4,true
DF7CP,1,4,true
DF7TR,1,1,true
DF7TV,1,1,true
DF8AE,1,1,true
DF8V,5,6,true
DG7D,1,1,false
DH0GHU,1,6,true
DH1NBE,2,2,true
DH7KU,3,3,true
DJ2RG,1,1,true
DJ5AZ,2,3,false
DJ5QV,4,5,true
DJ6GI,1,2,true
DJ8PG,2,2,true
DJ8VH,1,1,false
DJ9AO,1,1,true
DJ9IE,1,2,true
DK0PO,1,1,true
DK0SU,1,1,true
DK1NO,5,5,true
DK1WU,1,1,true
DK2ZO,2,4,true
DK3AX,2,5,true
DK3UW,1,2,true
DK3WW,3,6,true
DK3YD,3,6,true
DK4DS,1,1,false
DK4LX,1,2,true
DK5GB,1,5,true
DK5SF,1,1,true
DK7HA,2,6,true
DK8AX,1,1,true
DK9PY,3,5,true
DL0GRH,2,2,false
DL0HG,1,2,false
DL0WH,1,1,true
DL1AOB,1,1,true
DL1DQW,1,2,true
DL1EAR,1,1,true
DL1NKS,4,6,true
DL1VDL,4,6,true
DL2025B,2,4,true
DL2025C,1,3,true
DL2CC,6,6,true
DL2COM,1,1,true
DL2FQ,2,5,true
DL2NBU,2,4,true
DL2RTJ,1,4,true
DL2W,1,1,true
DL39EUDXF,3,3,true
DL3A,2,4,true
DL3AZ,5,6,true
DL3DRN,2,3,true
DL3KWF,3,4,true
DL3NC,1,1,false
DL3OBQ,1,1,true
DL4ABR,1,1,true
DL4ME,1,3,true
DL4SL,1,1,true
DL4UNY,1,1,true
DL4YR,3,4,true
DL4ZA,3,4,true
DL5ASK,3,3,true
DL5IAH,2,2,true
DL5JS,1,1,true
DL5OTT,1,1,true
DL5XL,1,1,true
DL5YL,2,2,false
DL5YM,5,6,true
DL6AG,1,3,true
DL6DH,3,3,true
DL6JZ,2,5,true
DL6NCY,2,5,true
DL6ZBN,1,3,true
DL7AU,1,1,true
DL7CX,1,1,true
DL7JOM,3,3,false
DL7ON,2,6,true
DL8MBS,1,1,false
DL8ULF,4,4,true
DL8WEM,1,1,true
DL9ABM,1,1,true
DL9BU,1,2,true
DL9CHR,1,2,false
DL9NEI,1,4,true
DL9SEV,1,3,true
DM1T,2,3,true
DM2PF,3,3,true
DM3ZF,1,1,true
DM4X,4,5,true
DM5EA,4,4,true
DM5GG,1,6,true
DM5M,1,3,true
DM7A,3,4,true
DM7C,1,1,true
DP6A,1,1,true
DP7D,1,6,true
DP9A,5,6,true
DQ9M,1,5,true
DR1A,2,5,true
DR3W,2,5,true
DR5I,1,1,true
DR8M,1,1,true
DS4EOI,4,4,true
DS5DNO,1,1,false
DU1XX,1,1,false
DU3LA,1,1,false
E2A,1,1,true
E2M,4,6,true
E2X,3,3,true
E71A,1,5,true
E73T,1,1,true
E73Y,1,1,true
E74BQ,1,1,true
E74C,1,1,true
E74HX,1,2,false
E75BO,1,1,true
E76Y,1,1,false
E78T,4,4,true
E7AA,3,6,true
E7CW,1,4,true
E7DX,2,4,true
EA1AER,1,1,true
EA1CS,4,4,true
EA1FBU,3,4,true
EA1G,2,3,true
EA1X,2,5,true
EA2AZ,1,5,true
EA2GR,2,2,false
EA2KV,1,2,true
EA2PA,2,2,true
EA2W,4,5,true
EA3AR,5,5,false
EA3C,1,1,true
EA3D,1,1,false
EA3GNU,1,1,true
EA3KV,1,1,false
EA3NO,1,1,true
EA3URM,1,1,false
EA3X,1,1,false
EA4EM,1,1,true
EA4FL,1,1,true
EA4HRJ,1,2,true
EA4JI,3,3,false
EA4KA,2,5,true
EA4KD,2,6,true
EA4OR,4,4,true
EA5BM,1,1,true
EA5DD,1,1,true
EA5JA,4,5,true
EA5KBG,3,3,true
EA5KM,5,6,true
EA5M,1,1,true
EA5O,3,5,true
EA5RS,2,4,true
EA5YU,1,1,false
EA6EJ,3,4,true
EA6NB,5,5,false
EA6SX,1,1,false
EA7A,1,1,true
EA7BEZ,3,3,false
EA7IF,1,3,true
EA7OR,1,2,true
EA7RCS,1,2,true
EA7TG,3,5,true
EA7W,1,1,true
EA8/TF3CW,4,4,true
EA8A,1,1,false
EA8BQM,1,1,false
EA8BW,4,6,true
EA8KR,1,1,true
EA9ACD,2,2,true
EB1TR,3,3,true
EB5F,3,3,true
EB7KA,4,5,true
EC3A,4,5,true
EC5K,5,6,true
EC6AAE,5,5,true
EC7C,2,2,true
ED1K,1,1,true
ED1R,1,1,true
ED1S,1,3,true
ED3Z,4,6,true
ED5U,1,2,true
ED7O,1,1,true
ED7W,5,6,true
ED8U,1,1,false
ED8X,1,3,true
ED9U,1,1,true
EF3T,3,5,true
EF3W,1,1,true
EF6B,1,1,true
EF6T,5,6,true
EF7A,1,1,false
EF7O,1,1,true
EF8R,5,6,true
EF8T,1,1,false
EI3EBB,1,1,false
EI3Z,1,1,true
EI4II,3,5,true
EI5KG,3,4,true
EI6FR,1,1,true
EI7M,2,4,true
EI8X,1,1,true
EK8A,6,6,true
EL2DT,2,3,true
EM5K,4,6,true
EM7Q,3,3,true
ER5GB,3,4,true
ER6T,2,2,false
ES1BH,1,2,true
ES3AX,1,1,false
